1,47.690
2,41.570
3,78.800
4,42.170
5,20.830
6,38.240
7,40.790
8,16.060
9,45.420
10,50.760
11,36.730
12,30.030
13,49.210
14,40.360
15,35.510
16,85.150
17,10.710
18,33.290
19,47.420
20,35.360
21,67.180
22,25.810
23,83.600
24,55.320
25,33.840
26,9.960
27,30.250
28,26.500
29,11.290
30,43.480
31,43.430
32,5.650
33,13.290
34,33.980
35,5.140
36,3.940
37,3.750
38,38.710
39,65.120
40,49.010
41,76.610
42,87.950
43,27.490
44,44.590
45,59.060
46,63.280
47,17.870
48,21.740
49,61.060
50,66.280
51,39.560
52,70.360
53,5.400
54,58.670
55,34.670
56,64.710
57,35.170
58,45.990
59,32.380
60,4.810
61,13.220
62,47.350
63,15.180
64,26.490
65,20.950
66,24.690
67,18.290
68,22.350
69,32.390
70,33.510
71,21.240
72,45.090
73,28.090
74,36.320
75,18.460
76,65.380
77,19.260
78,19.730
79,26.620
80,43.450
81,47.160
82,35.640
83,14.190
84,34.900
85,31.480
86,19.060
87,15.360
88,19.140
89,11.710
90,23.720
91,16.590
92,16.770
93,17.570
94,36.970
95,8.980
96,10.620
97,8.150
98,5.270
99,12.470
100,4.200
101,20.920
102,3.720
103,11.930
104,45.160
105,106.460
106,45.280
107,33.190
108,17.380
109,6.470
110,16.660
111,4.830
112,33.400
113,19.020
114,6.930
115,16.930
116,62.580
117,25.410
118,10.300
119,15.660
120,39.840
121,15.670
122,23.530
123,7.080
124,30.430
125,23.220
126,6.760
127,25.340
128,64.280
129,19.740
130,19.940
131,29.490
132,15.540
133,29.070
134,57.410
135,56.640
136,13.710
137,61.000
138,8.150
139,5.610
140,51.980
141,13.670
142,39.130
143,47.980
144,6.430
145,36.310
146,41.510
147,34.050
148,26.880
149,21.400
150,39.920
151,5.150
152,29.280
153,22.640
154,8.880
155,33.170
156,11.910
157,30.620
158,13.360
159,6.750
160,5.600
161,16.640
162,19.550
163,16.100
164,10.700
165,16.910
166,12.320
167,16.160
168,24.530
169,8.380
170,12.090
171,5.540
172,7.450
173,3.430
174,10.810
175,3.410
176,37.370
177,8.460
178,9.970
179,8.560
180,6.370
181,18.430
182,42.540
183,47.800
184,21.170
185,45.100
186,23.640
187,20.380
188,16.750
189,23.560
190,15.270
191,25.090
192,17.360
193,33.480
194,40.760
195,13.360
